PR	PM	T
-20	-5	156
-21	-5	168
-21	-5	168
-21	-5	168
-21	-5	168
-21	-5	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-6	168
-22	-7	156
-22	-7	156
-23	-7	156
-23	-7	168
-23	-7	168
-23	-7	168
-23	-7	168
-23	-8	168
-24	-8	156
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-24	-8	168
-25	-9	168
-25	-9	168
-25	-9	168
-25	-9	168
-25	-9	168
-25	-9	168
-26	-10	168
-26	-10	168
-26	-10	168
-26	-10	168
-26	-10	168
-26	-10	168
-26	-10	156
-26	-10	156
-26	-10	156
-26	-10	156
-26	-10	156
-26	-10	156
-26	-10	156
-26	-10	156
-26	-10	156
-26	-10	156
-26	-10	156
-26	-10	156
-26	-10	156
-27	-11	144
-27	-11	144
-27	-11	156
-27	-11	156
-27	-11	156
-27	-12	156
-28	-12	144
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-12	156
-28	-13	156
-28	-13	156
-29	-13	144
-29	-13	156
-29	-13	156
-29	-13	156
-29	-14	156
-30	-14	144
-30	-14	144
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-30	-14	156
-31	-15	156
-31	-15	156
-31	-15	156
-31	-15	156
-31	-15	164
-31	-16	164
-31	-16	164
-31	-16	152
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-16	164
-32	-17	164
-32	-17	152
-33	-17	152
-33	-17	164
-33	-17	164
-33	-18	152
-33	-18	152
-33	-18	152
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-18	164
-34	-19	152
-34	-19	152
-35	-19	152
-35	-19	164
-35	-19	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-20	164
-36	-21	152
-36	-21	152
-37	-21	152
-37	-21	164
-37	-21	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-22	164
-38	-23	152
-38	-23	152
-39	-23	152
-39	-23	164
-39	-23	164
-39	-24	164
-39	-24	152
-39	-24	152
-40	-24	152
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-24	164
-40	-25	164
-40	-25	164
-41	-25	152
-41	-25	164
-41	-25	164
-41	-26	164
-41	-26	152
-42	-26	152
-42	-26	152
-42	-26	164
-42	-26	164
-42	-26	164
-42	-26	164
-42	-26	164
-42	-26	164
-42	-26	164
-42	-26	164
-42	-26	156
-42	-26	156
-42	-26	156
-42	-26	156
-42	-26	156
-42	-26	156
-42	-26	156
-42	-26	156
-42	-27	156
-42	-27	156
-43	-27	144
-43	-27	156
-43	-27	156
-43	-27	156
-43	-28	144
-44	-28	144
-44	-28	144
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-28	156
-44	-29	156
-45	-29	144
-45	-29	156
-45	-29	156
-45	-29	156
-45	-30	156
-45	-30	156
-46	-30	144
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-46	-30	156
-47	-31	144
-47	-31	144
-47	-31	156
-47	-31	156
-47	-31	156
-47	-32	156
-48	-32	144
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-32	156
-48	-33	156
-48	-33	156
-48	-33	144
-49	-33	156
-49	-33	156
-49	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
-50	-34	156
